AudioSentence,Frase,Item,Condition,Group,Type
SS21.wav,O artista inspirava o produtor.,21,SS21,E,Experimental
OS22.wav,O prefeito amava a assistente.,22,OS22,E,Experimental
SA23.wav,O aluno criticava o professor.,23,SA23,E,Experimental
OA24.wav,O soldado exaltava o sargento.,24,OA24,E,Experimental
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,E,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,E,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,E,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,E,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,E,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,E,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,E,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,E,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,E,Filler
DIST10.wav,A professora estava doente.,34,DIST10,E,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,E,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,E,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,E,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,E,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,E,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,E,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,E,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,E,Filler
DIST19.wav,O ladrão catava o lixo.,43,DIST19,E,Filler
DIST20.wav,A mulher encontrava o ator.,44,DIST20,E,Filler
DIST21.wav,Destranca o armário de madeira.,45,DIST21,E,Filler
DIST22.wav,Eu evito sair de casa sem documento.,46,DIST22,E,Filler
DIST23.wav,Não gostei do assunto sobre o qual o professor falou.,47,DIST23,E,Filler
DIST24.wav,Marina brincava no parque.,48,DIST24,E,Filler
DIST25.wav,Marina tirou o quadro da parede.,49,DIST25,E,Filler
DIST26.wav,O gato arranhou a mão do vizinho.,50,DIST26,E,Filler
DIST27.wav,Apenas o diretor estava no evento.,51,DIST27,E,Filler
DIST28.wav,O empregado sujava a janela.,52,DIST28,E,Filler
DIST29.wav,O jogo de voleibol acabou em briga.,53,DIST29,E,Filler
DIST30.wav,A menina pulava corda com as amigas.,54,DIST30,E,Filler
DIST31.wav,O pastor protestante ajudou o estofador no altar.,55,DIST31,E,Filler
DIST32.wav,Renata jogava basquete com os amigos.,56,DIST32,E,Filler
OB1.wav,O repórter atacava o senador.,1,OB1,F,Experimental
SS2.wav,A atriz visitava a diretora.,2,SS2,F,Experimental
OS3.wav,O maestro adorava a cantora.,3,OS3,F,Experimental
SA4.wav,A criança procurava a vizinha.,4,SA4,F,Experimental
OA5.wav,O guarda observava o caçador.,5,OA5,F,Experimental
SB6.wav,O camponês saudava o fazendeiro.,6,SB6,F,Experimental
OB7.wav,O cliente perturbava o dentista.,7,OB7,F,Experimental
SS8.wav,O detento confrontava o agente.,8,SS8,F,Experimental
OS9.wav,A modelo detestava o editor.,9,OS9,F,Experimental
SA10.wav,O encanador olhava o pedreiro.,10,SA10,F,Experimental
OA11.wav,O músico subornava o escritor.,11,OA11,F,Experimental
SB12.wav,O garçom namorava a cozinheira.,12,SB12,F,Experimental
OB13.wav,O goleiro odiava o zagueiro.,13,OB13,F,Experimental
SS14.wav,O gerente insultava o hóspede.,14,SS14,F,Experimental
OS15.wav,O jogador xingava o técnico.,15,OS15,F,Experimental
SA16.wav,O porteiro intimidava o ladrão.,16,SA16,F,Experimental
OA17.wav,O médico chamava o paciente.,17,OA17,F,Experimental
SB18.wav,O feirante ajudava o pescador.,18,SB18,F,Experimental
OB19.wav,O piloto puxava o passageiro.,19,OB19,F,Experimental
SS20.wav,O banqueiro irritava o promotor.,20,SS20,F,Experimental
OS21.wav,O produtor inspirava o artista.,21,OS21,F,Experimental
SA22.wav,A assistente amava o prefeito.,22,SA22,F,Experimental
OA23.wav,O professor criticava o aluno.,23,OA23,F,Experimental
SB24.wav,O sargento exaltava o soldado.,24,SB24,F,Experimental
DIST1.wav,O aluno tinha todos os livros.,25,DIST1,F,Filler
DIST2.wav,A secretária escreveu a mensagem.,26,DIST2,F,Filler
DIST3.wav,O contador disse que alguém faltou.,27,DIST3,F,Filler
DIST4.wav,A bolsa será cortada se o aluno reprovar todas as disciplinas.,28,DIST4,F,Filler
DIST5.wav,O novo cozinheiro comprou feijão.,29,DIST5,F,Filler
DIST6.wav,A aluna escreve boas redações.,30,DIST6,F,Filler
DIST7.wav,A filha é suspeita da morte da mãe.,31,DIST7,F,Filler
DIST8.wav,Maria costurava meias.,32,DIST8,F,Filler
DIST9.wav,Um navio brasileiro entrava na baía.,33,DIST9,F,Filler
DIST10.wav,A professora estava doente.,34,DIST10,F,Filler
DIST11.wav,O locutor anunciou algo no jornal da TV.,35,DIST11,F,Filler
DIST12.wav,O policial viu o turista ontem.,36,DIST12,F,Filler
DIST13.wav,O aluno abraçou o amigo.,37,DIST13,F,Filler
DIST14.wav,O professor escreveu a tese.,38,DIST14,F,Filler
DIST15.wav,A mãe fez um bolo.,39,DIST15,F,Filler
DIST16.wav,O professor usava o computador.,40,DIST16,F,Filler
DIST17.wav,A atriz perdeu o prêmio.,41,DIST17,F,Filler
DIST18.wav,Apenas a casa está à venda.,42,DIST18,F,Filler
